analysis_id	stratum_1	stratum_2	stratum_3	stratum_4	stratum_5	count_value
0	Synthea1K	1.6.6	2019-10-17			1178
2000000	0.086006 secs					6
1						1178
2000001	0.153001 secs					6
2	8507					587
2	8532					591
2000002	0.023061 secs					6
3	1912					15
3	1914					8
3	1915					11
3	1916					6
3	1919					15
3	1922					8
3	1924					10
3	1927					11
3	1931					11
3	1936					6
3	1939					8
3	1941					10
3	1942					12
3	1944					7
3	1945					9
3	1946					11
3	1947					7
3	1948					12
3	1949					9
3	1950					8
3	1951					10
3	1952					12
3	1953					11
3	1954					13
3	1955					12
3	1956					21
3	1957					12
3	1958					9
3	1959					18
3	1960					24
3	1961					11
3	1962					12
3	1963					18
3	1964					15
3	1965					15
3	1966					24
3	1967					12
3	1968					23
3	1969					13
3	1970					17
3	1971					17
3	1972					14
3	1973					16
3	1974					14
3	1975					13
3	1976					15
3	1977					11
3	1978					13
3	1979					15
3	1980					15
3	1981					11
3	1982					8
3	1983					15
3	1984					16
3	1985					14
3	1986					16
3	1987					17
3	1988					21
3	1989					13
3	1990					17
3	1991					15
3	1992					19
3	1993					11
3	1994					19
3	1995					13
3	1996					13
3	1997					15
3	1998					14
3	1999					12
3	2000					14
3	2001					19
3	2002					15
3	2003					13
3	2004					9
3	2005					8
3	2006					10
3	2007					15
3	2008					11
3	2009					9
3	2010					7
3	2011					12
3	2012					8
3	2014					7
3	2015					10
3	2016					9
3	2017					13
3	2018					14
2000003	0.026001 secs					6
4	0					108
4	8515					78
4	8516					81
4	8527					911
2000004	0.026998 secs					6
5	0					1076
5	38003563					102
2000005	0.149964 secs					6
2000007	0.029959 secs					6
2000008	0.027041 secs					6
2000009	0.027000 secs					6
10	1912	8507				14
10	1914	8507				8
10	1915	8507				7
10	1919	8507				11
10	1922	8507				8
10	1924	8507				10
10	1927	8507				11
10	1931	8507				11
10	1936	8532				6
10	1941	8507				9
10	1942	8507				11
10	1945	8507				7
10	1946	8532				7
10	1948	8532				8
10	1949	8532				8
10	1950	8507				6
10	1951	8532				6
10	1952	8507				8
10	1953	8532				7
10	1954	8532				11
10	1955	8507				6
10	1955	8532				6
10	1956	8507				10
10	1956	8532				11
10	1957	8507				8
10	1958	8507				6
10	1959	8507				8
10	1959	8532				10
10	1960	8507				9
10	1960	8532				15
10	1961	8532				7
10	1962	8507				7
10	1963	8507				10
10	1963	8532				8
10	1964	8532				13
