analysis_id	stratum_1	stratum_2	stratum_3	stratum_4	stratum_5	count_value	min_value	max_value	avg_value	stdev_value	median_value	p10_value	p25_value	p75_value	p90_value
0	Synthea1K					1178									
2000000	0.086006 secs					6									
103						1178	0	72	14.5042444821732	12.3522527012239	14	0	3	21	32
2000103	0.194031 secs					6									
104	8507					587	0	72	15.5519591141397	13.3446800924435	15	0	3	23	34
104	8532					591	0	51	13.4636209813875	11.1951084847318	14	0	2	19	29
2000104	0.199018 secs					6									
105						1178	35	37907	10642.516977928693	7769.632157914247	8993	2919	3500	16132	22126
2000105	0.452004 secs					6									
106	8507					587	35	37907	11059.097103918228	8151.653317035443	9330	2856	3420	17256	22686
106	8532					591	35	35961	10228.756345177665	7354.204531170888	8505	3227	3571	15056	20776
2000106	0.374989 secs					6									
107	2					161	2198	31505	11050.335403726708	6721.090171936487	10620	3297	4998	15162	19705
107	3					100	2284	26976	8538.5000000000000000	5094.300843178393	7571	2901	3942	11336	14735
107	5					7	2597	14618	6753.1428571428571429	4518.410245081465	4452	2597	3339	9646	14618
107	1					391	2583	32277	11401.186700767263	7402.918593776315	10216	3339	4107	16911	22113
107	4					42	3199	21706	8424.5952380952380952	4718.292105534322	7383	3291	4074	11067	13685
107	0					475	35	37907	10593.147368421053	8928.295307649697	8091	1279	3339	17903	23347
2000107	0.291007 secs					6									
203						1178	1	3	1.9685908319185059	0.69702478583290535557	2	1	1	2	3
2000203	0.094028 secs					6									
206	9201	8507				129	5	93	47.1705426356589	24.8634156540186	47	14	26	69	80
206	9201	8532				171	1	90	37.9649122807018	20.725912947136	35	14	21	52	66
206	9202	8507				587	0	72	16.3543441226576	13.7974311566688	17	0	3	25	37
206	9202	8532				591	0	51	14.4957698815567	11.6145539488911	16	0	3	20	31
206	9203	8507				390	0	100	36.9538461538462	24.5583701735352	35	5	15	57	72
206	9203	8532				451	0	107	30.609756097561	20.2833986344153	28	6	16	43	59
2000206	0.106001 secs					6									
211	9201					1589	1	365	4.3536815607300189	23.7827492749441185	1	1	1	1	2
211	9203					2456	0	14620	13.6620521172638436	399.099032931510	0	0	0	0	0
211	9202					49705	0	30954	28.3667840257519364	666.076541428033	0	0	0	0	0
2000211	0.264004 secs					6									
403						1160	1	26	6.4353448275862069	3.5644141452006445	6	2	4	8	11
2000403	0.067003 secs					6									
406	0	8507				256	0	101	33.140625	16.8312195333669	34	11	22	42	48
406	0	8532				236	0	79	28.6737288135593	13.9469934407665	32	9	18	40	44
406	28060	8507				68	1	101	41.8088235294118	24.6729396471937	43	4	20	57	74
406	28060	8532				86	0	109	27.3488372093023	22.2254583447004	18	5	10	43	56
406	75036	8507				23	30	65	44.5652173913044	9.9490798430468	42	33	38	51	58
406	75036	8532				10	32	50	41.2	5.86515131944607	40	32	36	47	47
406	78272	8507				32	5	86	39.1875	23.7316142756668	41	10	13	57	67
406	78272	8532				34	1	68	30.6176470588235	20.7116051583477	30	8	13	44	63
406	79740	8507				7	51	81	67.5714285714286	10.1957040439776	71	51	61	76	81
406	80502	8507				37	60	91	69.1621621621622	10.3320254911973	70	60	60	71	90
